benchmark_id,group,group_name,language,expected_record_id,expected_category,canonical_question,test_query,query_type,expected_routing_behavior,human_twi_review_required,detected_language,initial_top_record_id,initial_top_question,initial_top_category,initial_raw_tfidf_score,initial_semantic_similarity,initial_semantic_retrieval_score,initial_routing_state,initial_match_level,gemini_eligible,gemini_attempted,gemini_accepted,final_record_id,final_question,final_category,final_routing_state,response_type,knowledge_gap,off_topic,response_language,response_language_ok,initial_retrieval_elapsed_ms,final_pipeline_elapsed_ms,expected_record_raw_tfidf_score,exact_expected_record_match,routing_expectation_pass,generated_agricultural_answer
C4-A-001,A,Direct English,en,474,Beekeeping,What should I consider before starting beekeeping?,What should I consider before starting beekeeping?,canonical_direct,A,False,English,474,What should I consider before starting beekeeping?,Beekeeping,1.0,1.0,1.0,A,normalized_exact,False,False,False,474,What should I consider before starting beekeeping?,Beekeeping,A,answer,False,False,en,True,66.606,50.462,1.0,True,True,False
C4-A-002,A,Direct English,en,83,Business & Marketing,Where can I sell my farm produce for a better price?,Where can I sell my farm produce for a better price?,canonical_direct,A,False,English,83,Where can I sell my farm produce for a better price?,Business & Marketing,1.0,1.0,1.0,A,normalized_exact,False,False,False,83,Where can I sell my farm produce for a better price?,Business & Marketing,A,answer,False,False,en,True,64.12,45.805,1.0,True,True,False
C4-A-003,A,Direct English,en,247,Carrot,How can I grow carrots successfully in Ghana?,How can I grow carrots successfully in Ghana?,canonical_direct,A,False,English,247,How can I grow carrots successfully in Ghana?,Carrot,1.0,1.0,1.0,A,normalized_exact,False,False,False,247,How can I grow carrots successfully in Ghana?,Carrot,A,answer,False,False,en,True,21.598,17.708,1.0,True,True,False
C4-A-004,A,Direct English,en,33,Cassava,My cassava leaves are turning yellow and curling. What should I do?,My cassava leaves are turning yellow and curling. What should I do?,canonical_direct,A,False,English,33,My cassava leaves are turning yellow and curling. What should I do?,Cassava,1.0,1.0,1.0,A,normalized_exact,False,False,False,33,My cassava leaves are turning yellow and curling. What should I do?,Cassava,A,answer,False,False,en,True,19.189,17.328,1.0,True,True,False
C4-A-005,A,Direct English,en,9,Cattle Rearing,What is green manure and how do I use it?,What is green manure and how do I use it?,canonical_direct,A,False,English,9,What is green manure and how do I use it?,Cattle Rearing,1.0,1.0,1.0,A,normalized_exact,False,False,False,9,What is green manure and how do I use it?,Cattle Rearing,A,answer,False,False,en,True,16.692,20.433,1.0,True,True,False
C4-A-006,A,Direct English,en,514,Climate-Smart Farming,How can farmers prepare for a late rainy season?,How can farmers prepare for a late rainy season?,canonical_direct,A,False,English,514,How can farmers prepare for a late rainy season?,Climate-Smart Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,514,How can farmers prepare for a late rainy season?,Climate-Smart Farming,A,answer,False,False,en,True,15.926,21.859,1.0,True,True,False
C4-A-007,A,Direct English,en,374,Cocoa Farming,How should I choose a cocoa nursery site?,How should I choose a cocoa nursery site?,canonical_direct,A,False,English,374,How should I choose a cocoa nursery site?,Cocoa Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,374,How should I choose a cocoa nursery site?,Cocoa Farming,A,answer,False,False,en,True,22.762,17.903,1.0,True,True,False
C4-A-008,A,Direct English,en,404,Cucumber Farming,What kind of site is suitable for cucumber?,What kind of site is suitable for cucumber?,canonical_direct,A,False,English,404,What kind of site is suitable for cucumber?,Cucumber Farming,1.0,1.0,1.0,A,normalized_exact,False,False,False,404,What kind of site is suitable for cucumber?,Cucumber Farming,A,answer,False,False,en,True,17.814,18.07,1.0,True,True,False
C4-A-009,A,Direct English,en,494,Farm Business Planning,What questions should I ask before investing money in a new farm enterprise?,What questions should I ask before investing money in a new farm enterprise?,canonical_direct,A,False,English,494,What questions should I ask before investing money in a new farm enterprise?,Farm Business Planning,1.0,1.0,1.0,A,normalized_exact,False,False,False,494,What questions should I ask before investing money in a new farm enterprise?,Farm Business Planning,A,answer,False,False,en,True,17.453,77.069,1.0,True,True,False
C4-A-010,A,Direct English,en,39,Farm Management & General,How can I control grasshoppers on my farm?,How can I control grasshoppers on my farm?,canonical_direct,A,False,English,39,How can I control grasshoppers on my farm?,Farm Management & General,1.0,1.0,1.0,A,normalized_exact,False,False,False,39,How can I control grasshoppers on my farm?,Farm Management & General,A,answer,False,False,en,True,19.316,18.877,1.0,True,True,False
C4-A-011,A,Direct English,en,484,Farm Mechanization & Tools,How do I choose the right farm tool for a job?,How do I choose the right farm tool for a job?,canonical_direct,A,False,English,484,How do I choose the right farm tool for a job?,Farm Mechanization & Tools,1.0,1.0,1.0,A,normalized_exact,False,False,False,484,How do I choose the right farm tool for a job?,Farm Mechanization & Tools,A,answer,False,False,en,True,17.475,18.528,1.0,True,True,False
C4-A-012,A,Direct English,en,524,Farm Records & Extension,What farm records should a beginner start with?,What farm records should a beginner start with?,canonical_direct,A,False,English,524,What farm records should a beginner start with?,Farm Records & Extension,1.0,1.0,1.0,A,normalized_exact,False,False,False,524,What farm records should a beginner start with?,Farm Records & Extension,A,answer,False,False,en,True,17.126,19.368,1.0,True,True,False
C4-A-013,A,Direct English,en,11,Fertilizer & Nutrients,Can too much fertilizer damage my crops?,Can too much fertilizer damage my crops?,canonical_direct,A,False,English,11,Can too much fertilizer damage my crops?,Fertilizer & Nutrients,1.0,1.0,1.0,A,normalized_exact,False,False,False,11,Can too much fertilizer damage my crops?,Fertilizer & Nutrients,A,answer,False,False,en,True,18.948,18.595,1.0,True,True,False
