category,records
Beekeeping,10
Business & Marketing,16
Carrot,2
Cassava,21
Cattle Rearing,10
Climate-Smart Farming,10
Cocoa Farming,10
Cucumber Farming,10
Farm Business Planning,10
Farm Management & General,7
Farm Mechanization & Tools,10
Farm Records & Extension,10
Fertilizer & Nutrients,11
Fish Farming,18
Garden Eggs,3
Goat Rearing,9
Grasscutter Farming,10
Groundnut & Legumes,10
Harvesting & Storage,14
Irrigation & Water,9
Maize,47
Mushroom Farming,10
Oil Palm & Coconut,10
Okra Farming,10
Onion,8
Palm & Coconut,7
Pepper,10
Pest & Disease Control,20
Pig Farming,10
Plantain & Banana,22
Post-Harvest & Food Safety,10
Poultry Farming,23
Rabbit Farming,10
Rice Farming,10
Sheep Rearing,3
Snail Farming,10
Soil & Land Preparation,90
Tomato,19
Watermelon Farming,10
Yam,14
